State,District,Soil Type
Chhattisgarh,Mungeli,Loamy
Chhattisgarh,Narayanpur,Loamy
Chhattisgarh,Raigarh,Loamy
Chhattisgarh,Raipur,Loamy
Chhattisgarh,Rajnandgaon,Clayey
Chhattisgarh,Sukma,Loamy
Chhattisgarh,Surajpur,Loamy
Chhattisgarh,Surguja,Loamy
West Bengal,,
West Bengal,Alipurduar,Alluvial
West Bengal,Bankura,Loamy
West Bengal,Birbhum,Gravel
West Bengal,Cooch Behar,Alluvial
West Bengal,Dakshin Dinajpu,Alluvial
West Bengal,Darjeeling,Loamy
West Bengal,Hooghly,Alluvial
West Bengal,Howrah,Alluvial
West Bengal,Jalpaiguri,Alluvial
West Bengal,Jhargram,Gravel
West Bengal,Kalimpong,Loamy
West Bengal,Kolkata,Alluvial
West Bengal,Malda,Alluvial
West Bengal,Murshidabad,Alluvial
West Bengal,Nadia,Alluvial
West Bengal,North 24 Pargan,Alluvial
West Bengal,Paschim Bardha,Gravel
West Bengal,Paschim Medini,Gravel
West Bengal,Purba Bardham,Alluvial
West Bengal,Purba Medinipur,Alluvial
West Bengal,Purulia,Gravel
West Bengal,South 24 Pargan,Alluvial
West Bengal,Uttar Dinajpur,Alluvial
Jharkhand,,
Jharkhand,Bokaro,Clayey
Jharkhand,Chatra,Loamy
Jharkhand,Deoghar,Gravel
Jharkhand,Dhanbad,Clayey
Jharkhand,Dumka,Gravel
Jharkhand,East Singhbhum,Gravel
Jharkhand,Garhwa,Loamy
Jharkhand,Giridih,Gravel
Jharkhand,Godda,Gravel
Jharkhand,Gumla,Loamy
Jharkhand,Hazaribagh,Loamy
Jharkhand,Jamtara,Gravel
Jharkhand,Khunti,Gravel
Jharkhand,Koderma,Gravel
Jharkhand,Latehar,Loamy
Jharkhand,Lohardaga,Loamy
Jharkhand,Pakur,Gravel
Jharkhand,Palamu,Loamy
Jharkhand,Ramgarh,Clayey
Jharkhand,Ranchi,Gravel
Jharkhand,Sahebganj,Gravel
Jharkhand,Seraikela Khars,Gravel
Jharkhand,Simdega,Loamy
Jharkhand,West Singhbhum,Gravel
Bihar,,
Bihar,Araria,Alluvial
Bihar,Arwal,Alluvial
Bihar,Aurangabad,Alluvial
Bihar,Banka,Loamy
Bihar,Begusarai,Alluvial
Bihar,Bhagalpur,Alluvial
Bihar,Bhojpur,Alluvial
Bihar,Buxar,Alluvial
